	Endothelial cells	Fibroblasts	Smooth muscle cells	Tumor-Like	tB cells	tMast cells	tMoMacDC	tNK cells	tNeutrophils	tPlasma cells	tRBC	tT cells	tpDC
EEF1A1	0.0036527799	0.004021386	0.004496607	0.0035970998	0.0075539807	0.006076602	0.0032647555	0.005702258	0.000479686	0.00468069	0.0001779378	0.0063911336	0.0060088327
B2M	0.003636576	0.0018500959	0.0020508943	0.00073425245	0.0030670029	0.0030947546	0.0033496227	0.0044790455	0.0040587843	0.0047177635	0.0001003561	0.0045802905	0.0031696986
HBB	6.114283e-06	4.8926518e-06	3.936374e-06	1.5878339e-06	8.811595e-06	7.612529e-06	4.8521747e-06	4.79107e-06	7.5030184e-06	1.9492895e-06	0.11736299	7.648171e-06	3.1277987e-06
RPL41	0.0030543788	0.0041687074	0.0045095515	0.0053858077	0.008680152	0.0035128205	0.0030182933	0.0060878	0.0008518573	0.0068240566	0.00022506392	0.0071328892	0.0048840926
FTH1	0.00057000783	0.0012345968	0.00093729567	0.0015816987	0.0008032711	0.0021222131	0.0034531974	0.001046379	0.01128651	0.00045757624	0.00019731469	0.0013214932	0.0012211336
TMSB4X	0.0023497352	0.0014595534	0.0017908657	0.0015129049	0.0019096333	0.0013467944	0.0030413696	0.0029872607	0.0021643785	0.0007264498	7.01432e-05	0.0030990632	0.0018185274
TPT1	0.0035037813	0.0031618795	0.0031479408	0.0023110397	0.0045744893	0.0034386658	0.003084251	0.0039533046	0.0029483594	0.0061640334	0.00033776026	0.0045746192	0.005049729
COL1A1	1.0648455e-05	0.00050267566	0.00017104308	1.9978579e-05	7.057414e-06	3.996864e-06	3.3373224e-06	7.721075e-06	6.886091e-06	1.4327628e-05	8.104761e-06	5.82933e-06	2.8903726e-06
RPL10	0.0026777692	0.003655062	0.003984954	0.002885984	0.0071350317	0.0029736843	0.002594544	0.004607882	0.00023496868	0.006579378	8.042652e-05	0.0058934595	0.0041453033
FTL	0.0002020431	0.00033674925	0.00032342496	0.000333307	0.00029855236	0.00032575114	0.0022002	0.00025123893	0.0011964252	0.0005509355	0.00029826185	0.00020372354	0.00035626104
ACTB	0.0016627976	0.0014456853	0.002282918	0.0015345894	0.0017232863	0.0013133452	0.0028431586	0.0017202151	0.0039764354	0.00064374646	0.00014297015	0.0014176904	0.0011437538
CD74	0.0009196273	5.7386667e-05	9.406866e-05	8.3288935e-05	0.0023995652	9.480107e-05	0.0024652786	0.00029748585	0.00014187723	0.0007129537	2.8509565e-05	0.00027060346	0.002442907
MALAT1	0.00056637515	0.00044822504	0.0008656589	0.00041259956	0.0011253105	0.00096734817	0.00045784833	0.0010896904	0.0024072	0.0015710955	5.8474026e-05	0.00095842406	0.0010700154
RPS11	0.0024366593	0.0028980603	0.0028692214	0.0027590448	0.0062613143	0.002606361	0.0022798919	0.003749021	0.0004256326	0.005702057	0.0001876892	0.004239951	0.005878204
RPL37A	0.0024206927	0.003045785	0.0030309109	0.0029426964	0.004589867	0.0038441853	0.001979307	0.0038672534	0.00014318286	0.0040074172	6.305007e-05	0.0039019554	0.0041032713
RPS29	0.0016799219	0.0018976255	0.0018363413	0.0040474758	0.008479819	0.0030527606	0.0022405295	0.0057942998	0.00027421556	0.004156999	0.00017741969	0.007647973	0.0044238805
RPS28	0.00271369	0.0019587171	0.0022257022	0.0026434795	0.0062164646	0.0021136533	0.0022446846	0.0034727643	0.00046859524	0.00425061	0.00017049834	0.005265691	0.0045927805
RPS27A	0.002197532	0.002255942	0.0026700327	0.0023562496	0.005324068	0.0025976077	0.0012736049	0.0037720073	0.00027813512	0.003241968	0.00014176485	0.004968554	0.0033890791
RPS27	0.0012587614	0.0015017019	0.0017542532	0.0013551232	0.0072584157	0.002689352	0.0013566739	0.004695599	0.00039199868	0.0024637256	0.00021446352	0.0065470366	0.0031916052
RPS12	0.0013850254	0.0018919668	0.0015809409	0.0014193484	0.0049495604	0.0020055033	0.0015757226	0.0031694605	0.00012670663	0.0024502163	0.0004542008	0.004246381	0.0034363014
RPS8	0.002009715	0.0023477909	0.002561678	0.00315456	0.0060265013	0.0021801046	0.0017603907	0.0025015466	0.00012479126	0.004173027	0.00014494626	0.0037446236	0.0039823097
SRGN	0.00047890478	7.498835e-05	0.00011298504	3.3946868e-05	0.00072599185	0.004099889	0.0017806609	0.0023136379	0.009087044	0.000871385	0.000118179	0.0021844285	0.0019347778
RPL13A	0.0019695435	0.002598265	0.002223924	0.001888831	0.0069948067	0.0024326101	0.0015522601	0.0036961962	0.00022758961	0.0032943785	8.013713e-05	0.0046993266	0.002912207
JCHAIN	2.08709e-06	8.8328864e-07	2.7177202e-06	1.086676e-06	1.6073738e-05	2.8579877e-06	2.22442e-06	8.216228e-08	5.1548673e-06	0.00045258686	4.0342784e-06	8.215774e-08	0.00019067766
HLA-B	0.0030395284	0.000715416	0.0008751429	0.0003869184	0.0022066426	0.001294751	0.0021521368	0.0030114204	0.0030839648	0.0023216817	9.526871e-05	0.0029580984	0.002081763
HSPA1A	0.00036743	0.00034706178	0.00036990314	0.00017107536	8.324979e-05	0.000262379	0.00017839704	0.0001514923	0.00012728565	0.00036398295	8.1089134e-08	0.00015993585	0.00012829967
RPLP1	0.0012999626	0.0021518716	0.0019685773	0.0017720475	0.0050054938	0.0017707706	0.001677389	0.0033199904	0.00031907772	0.0047253505	6.0069557e-05	0.0044100485	0.0031650092
RPS23	0.001847598	0.0023129096	0.0022371437	0.0016796715	0.0066172793	0.0026648792	0.001600731	0.0030075344	9.260679e-05	0.0029559892	6.613298e-05	0.004146858	0.0045512426
RPL13	0.0022456371	0.0029736548	0.0029484788	0.0022331672	0.0062130257	0.0023005607	0.0017363512	0.0041460525	0.0001594744	0.004387896	0.00023964222	0.005465767	0.003977111
HLA-DRA	0.00035988181	3.1207874e-05	5.336492e-05	4.2232758e-05	0.0018937783	6.2523344e-05	0.0021661217	7.580586e-05	0.00011777454	6.722944e-05	1.8993402e-05	7.567902e-05	0.0010922012
