"","Gene","test.type","p_value","log2.mean.Cluster_Other","log2.mean.Astrocyte_Neurons","log2fold_change","Auc"
"95","Ppp3ca","hurdle",1.43013633075051e-30,0.7277122,3.1610537,2.4333415,0.887
"45","Grin2b","hurdle",1.64977511640654e-30,0.02481571,2.49869105,2.47387534,0.882
"44","Gria2","hurdle",5.39002252435218e-27,0.2863318,2.6290551,2.3427233,0.877
"113","Slc1a2","hurdle",8.12298181863031e-29,2.229848,4.093012,1.863164,0.875
"69","Ncdn","hurdle",3.6723537479921e-28,-0.2379475,2.2754181,2.5133656,0.875
"7","Atp1b1","hurdle",9.90917523140855e-28,0.9997043,2.7669972,1.7672929,0.875
"83","Olfm1","hurdle",3.04459350270694e-28,-0.0476868,1.9987558,2.0464426,0.874
"42","Gpm6a","hurdle",2.17953147838601e-25,0.3190872,2.4125479,2.0934607,0.874
"6","Atp1a2","hurdle",3.95424557827263e-27,1.701167,3.470245,1.769078,0.858
"71","Ndrg4","hurdle",4.70048667778606e-27,-0.0476868,1.8059328,1.8536196,0.857
"32","Cplx2","hurdle",1.89687369858436e-24,-0.0224448,1.9545172,1.976962,0.857
"67","Mt3","hurdle",3.97755331106356e-23,2.16826,3.864485,1.696225,0.849
"54","Meg3","hurdle",6.8869680666029e-22,3.843803,5.174616,1.330813,0.845
"82","Nrxn1","hurdle",3.14907921157271e-21,-0.07857199,1.79163446,1.87020645,0.844
"52","Map1b","hurdle",3.33940407792264e-21,0.2065954,1.9925184,1.785923,0.835
"114","Slc1a3","hurdle",2.24964814532118e-23,0.05643191,1.67183995,1.61540804,0.834
"149","Zbtb20","hurdle",7.27665322691351e-19,1.174473,2.744903,1.57043,0.833
"135","Ttyh1","hurdle",1.38874539903545e-22,0.2569446,2.0049663,1.7480217,0.832
"8","Atp2b1","hurdle",1.30926851052846e-22,-0.06613846,2.49869105,2.56482951,0.832
"25","Cnih2","hurdle",3.64926883245701e-21,0.1267129,2.0715733,1.9448604,0.83
"22","Chn1","hurdle",2.63432859799218e-22,-0.6355041,1.664012,2.2995161,0.83
"3","Aldoc","hurdle",1.03610015701541e-24,1.144474,2.763338,1.618864,0.829
"116","Snca","hurdle",7.2848830276248e-23,0.7968428,2.3059202,1.5090774,0.824
"94","Plpp3","hurdle",1.28478969110506e-20,-0.1391403,1.4162807,1.555421,0.82
