"","Gene","test.type","p_value","log2.mean.Cluster_Other","log2.mean.Astrocyte","log2fold_change","Auc"
"1","Aldoc","hurdle",3.83162236759919e-195,-0.3788973,3.4070808,3.7859781,0.975
"29","Slc1a2","hurdle",6.2027791407904e-166,1.000113,4.409527,3.409414,0.951
"6","Clu","hurdle",4.68956641999703e-155,-0.3396161,3.0433445,3.3829606,0.94
"20","Mt1","hurdle",1.05849810780985e-155,1.724389,4.809003,3.084614,0.939
"2","Apoe","hurdle",3.59261724373885e-125,2.503541,4.396708,1.893167,0.931
"22","Mt3","hurdle",1.25129459046125e-130,1.44334,3.987685,2.544345,0.926
"30","Slc1a3","hurdle",7.02595666328097e-139,-0.898832,2.035624,2.934456,0.924
"3","Atp1a2","hurdle",1.17922611416357e-124,0.9656827,3.5454742,2.5797915,0.912
"23","Ndrg2","hurdle",3.9282866239834e-126,-0.5846223,2.4874863,3.0721086,0.907
"21","Mt2","hurdle",1.13419000177617e-125,-0.2264813,3.0524159,3.2788972,0.904
"33","Tspan7","hurdle",2.21007832698771e-102,0.247641,2.349365,2.101724,0.888
"25","Plpp3","hurdle",3.84382538651975e-112,-0.9330714,1.7101727,2.6432441,0.885
"8","Cspg5","hurdle",3.69550919112328e-105,-0.5181422,1.8734195,2.3915617,0.882
"34","Ttyh1","hurdle",1.59663703817663e-102,-0.3892583,2.015783,2.4050413,0.88
"19","Mmd2","hurdle",3.7562011023963e-96,-0.657889,1.630405,2.288294,0.871
"7","Cpe","hurdle",2.15298019300323e-87,0.3472913,2.4874863,2.140195,0.863
"31","Sparcl1","hurdle",4.42138757642015e-79,0.4006754,2.2892443,1.8885689,0.851
"24","Pantr1","hurdle",4.94145549115299e-82,-0.1910904,1.8383467,2.0294371,0.848
"11","Glul","hurdle",7.73334514733951e-76,1.075242,2.85599,1.780748,0.847
"10","Dbi","hurdle",7.41116280998902e-66,1.424871,2.960512,1.535641,0.82
"9","Cst3","hurdle",1.50495902339871e-54,4.654172,5.39053,0.736358,0.795
"14","Gpm6b","hurdle",7.4125465214946e-53,0.505859,1.825379,1.31952,0.784
"5","Ckb","hurdle",4.55902581534488e-40,0.8789165,2.0496308,1.1707143,0.76
"32","Tsc22d4","hurdle",3.74141143027216e-54,0.80489,1.520045,0.715155,0.759
"13","Gpm6a","hurdle",5.98224698829637e-52,0.2666216,1.275007,1.0083854,0.757
"15","Gstm5","hurdle",3.7065629772188e-40,-0.3224953,1.0621217,1.384617,0.752
"27","Rgcc","hurdle",5.19493486886184e-50,-0.2750615,0.9679064,1.2429679,0.747
"4","Chchd10","hurdle",8.25427816881574e-57,0.6709657,1.2606279,0.5896622,0.74
"28","Scd2","hurdle",3.84191106323406e-38,1.061178,1.851199,0.790021,0.728
"17","Id3","hurdle",3.41780971305561e-29,0.588889,1.337996,0.749107,0.673
"18","Ldhb","hurdle",3.89685994228986e-20,-0.3055753,0.6304055,0.9359808,0.671
"16","Hmgcs1","hurdle",1.26279279374712e-18,-0.28194,0.3651326,0.6470726,0.645
"26","Prnp","hurdle",3.57451731293432e-13,0.3010906,0.8221183,0.5210277,0.638
"35","X6330403K07Rik","hurdle",2.40554179014833e-16,-0.2145876,0.5300707,0.7446583,0.633
"12","Gm42418","hurdle",4.72265344801358e-07,0.6602404,1.6210555,0.9608151,0.594
