"","Gene","test.type","p_value","log2.mean.Cluster_Other","log2.mean.Immune","log2fold_change","Auc"
"4","C1qa","hurdle",7.43847911428399e-283,-3.072569,3.536053,6.608622,0.998
"6","C1qc","hurdle",2.45815203815776e-279,-3.150995,3.293959,6.444954,0.996
"5","C1qb","hurdle",1.945032679923e-273,-2.962386,3.42975,6.392136,0.995
"11","Ctsd","hurdle",3.28518058036178e-254,-0.6348111,3.6078629,4.242674,0.981
"20","Lgmn","hurdle",1.22521532801102e-217,-1.162628,2.936591,4.099219,0.979
"12","Ctss","hurdle",2.0845355336639e-254,-3.101481,3.158337,6.259818,0.977
"16","Hexb","hurdle",4.95660699714465e-255,-2.447459,3.843984,6.291443,0.967
"9","Cst3","hurdle",1.40387450807611e-159,3.681488,6.71122,3.029732,0.962
"22","P2ry12","hurdle",4.37685553944368e-225,-3.150995,2.621056,5.772051,0.947
"23","Rgs10","hurdle",4.01129070222323e-164,-1.052669,2.004322,3.056991,0.938
"17","Itm2b","hurdle",3.47610389583848e-113,1.70886,3.618709,1.909849,0.903
"19","Junb","hurdle",7.71413135118087e-84,0.4075323,2.5675454,2.1600131,0.851
"30","Sparc","hurdle",2.31681781905401e-67,1.424871,2.343692,0.918821,0.808
"10","Ctsb","hurdle",2.73221818981811e-64,0.08714256,2.21412481,2.12698225,0.798
"29","Sepp1","hurdle",3.03173625614594e-52,0.4719155,1.7824086,1.3104931,0.786
"14","Ftl1","hurdle",3.86993713629887e-37,3.391367,4.612824,1.221457,0.746
"8","Clta","hurdle",4.28846370624187e-38,-0.03072119,1.28451413,1.31523532,0.744
"13","Fau","hurdle",9.78030345597604e-31,2.386082,3.159629,0.773547,0.741
"26","Rps29","hurdle",9.11865741487596e-32,2.542219,3.386811,0.844592,0.737
"2","Arpc1b","hurdle",1.28357108359288e-49,0.5971601,1.3056787,0.7085186,0.737
"31","Tmsb4x","hurdle",1.60928971409692e-27,4.536825,5.126147,0.589321999999999,0.717
"18","Jun","hurdle",1.03088609056717e-27,0.4604211,1.5655972,1.1051761,0.713
"24","Rpl10","hurdle",1.74022735136836e-23,1.969684,2.611645,0.641961,0.705
"25","Rpl18a","hurdle",5.41953907708405e-21,2.443507,3.054501,0.610994,0.704
"28","Rps9","hurdle",5.84188504519916e-19,2.547467,3.053111,0.505644,0.697
"27","Rps4x","hurdle",1.22453561539935e-21,2.231164,2.810649,0.579485,0.693
"21","Npc2","hurdle",1.14288618773345e-15,0.1177787,0.9199121,0.8021334,0.663
"3","Arpc2","hurdle",1.73762894118807e-16,0.07534964,0.97673022,0.90138058,0.66
"15","Gatm","hurdle",1.2830681890943e-16,0.06019969,0.6924272,0.63222751,0.64
"1","Apoe","hurdle",1.93218142039822e-06,2.690319,4.093898,1.403579,0.57
"7","Cd63","hurdle",0.000945671523749401,0.1681091,0.7172103,0.5491012,0.533
