"","Gene","test.type","p_value","log2.mean.Cluster_Other","log2.mean.Neurons_Cycling","log2fold_change","Auc"
"45","H2afv","hurdle",1.83456348146389e-101,-0.02877527,3.27893378,3.30770905,0.961
"49","Hmgn1","hurdle",7.47519109925234e-87,-0.1468486,2.7928111,2.9396597,0.951
"93","Ptma","hurdle",3.27650343950838e-62,1.927434,4.313771,2.386337,0.942
"187","Ybx1","hurdle",4.4537650012823e-64,1.319825,3.654133,2.334308,0.937
"94","Ran","hurdle",2.93831587132595e-67,-0.4521507,2.4688883,2.921039,0.934
"47","H3f3b","hurdle",5.98254385324171e-67,2.362334,4.91729,2.554956,0.929
"95","Ranbp1","hurdle",3.44740832148152e-69,-0.2261691,2.6990223,2.9251914,0.918
"182","Tubb5","hurdle",1.53883521620363e-69,0.3014155,3.6431193,3.3417038,0.907
"89","Prdx2","hurdle",6.11352918351463e-58,0.3788224,2.9117936,2.5329712,0.905
"170","Snrpg","hurdle",8.07327643633298e-46,-0.1614634,2.0167846,2.178248,0.888
"132","Rplp0","hurdle",7.1003180014293e-39,2.127735,3.777895,1.65016,0.884
"56","Marcksl1","hurdle",6.2090835508338e-36,0.6893931,2.6386901,1.949297,0.868
"180","Tuba1a","hurdle",6.33731888140909e-39,1.997168,4.090529,2.093361,0.857
"156","Rps5","hurdle",5.93859679690278e-28,2.339361,3.64066,1.301299,0.849
"46","H3f3a","hurdle",2.72183325926017e-36,0.1611876,2.1678772,2.0066896,0.849
"73","Nfib","hurdle",1.74228542976246e-36,-0.3702108,1.9388663,2.3090771,0.847
"181","Tuba1b","hurdle",2.46576684004849e-44,-0.04015713,2.76146636,2.80162349,0.844
"168","Slc25a5","hurdle",1.53136216543089e-35,0.4858597,2.5936335,2.1077738,0.84
"125","Rpl4","hurdle",3.40455796652818e-26,1.71553,2.983406,1.267876,0.835
"151","Rps26","hurdle",8.41341045003596e-27,1.361705,2.684771,1.323066,0.832
"71","Ndufc2","hurdle",1.07719670624749e-36,0.1933521,2.4771813,2.2838292,0.83
"145","Rps19","hurdle",9.01294325650163e-24,2.971534,4.187215,1.215681,0.829
"86","Ppia","hurdle",1.70673701186172e-31,1.076151,2.853529,1.777378,0.827
"51","Hnrnpk","hurdle",2.11052349617645e-33,0.06305815,2.02811768,1.96505953,0.827
"35","Eif4a1","hurdle",4.58959458275384e-31,0.09651511,2.04681054,1.95029543,0.827
"50","Hnrnpa2b1","hurdle",1.3169682411183e-32,0.08703489,2.08348499,1.9964501,0.825
"161","Rpsa","hurdle",9.933021503627e-29,0.9557858,2.5259622,1.5701764,0.824
"155","Rps4x","hurdle",1.46620695086299e-23,2.225161,3.48076,1.255599,0.821
"75","Nme1","hurdle",9.26568161608097e-27,0.3537424,2.0205722,1.6668298,0.821
"146","Rps2","hurdle",1.0997939203449e-23,2.351487,3.610821,1.259334,0.817
"189","Zbtb20","hurdle",8.24215882192884e-26,1.100855,2.745535,1.64468,0.816
"149","Rps24","hurdle",1.14519060412352e-24,1.983948,3.248574,1.264626,0.816
"169","Snrpd2","hurdle",5.32109009215308e-30,-0.1592053,1.6952357,1.854441,0.815
"173","Sumo1","hurdle",5.52277290066201e-24,0.05627264,1.47552648,1.41925384,0.812
"136","Rps11","hurdle",2.05424086943749e-22,2.137412,3.370817,1.233405,0.81
"108","Rpl18a","hurdle",3.1954470290432e-22,2.446849,3.686679,1.23983,0.808
"74","Ngfrap1","hurdle",1.68130391141777e-24,0.3169083,1.9227647,1.6058564,0.808
"60","Mif","hurdle",1.9639229568328e-25,0.5375849,2.2049665,1.6673816,0.808
"113","Rpl24","hurdle",6.84958977707102e-22,2.034638,3.162059,1.127421,0.806
