"","Gene","test.type","p_value","log2.mean.Cluster_Other","log2.mean.Neurons_Oligos","log2fold_change","Auc"
"209","Opalin","hurdle",4.00123661146123e-29,0.1584898,3.6501379,3.4916481,0.953
"364","Syt11","hurdle",7.93548373444219e-25,1.496355,4.218405,2.72205,0.944
"161","Mobp","hurdle",3.73509362012327e-25,1.955452,5.056662,3.10121,0.937
"145","Mag","hurdle",9.87970772073255e-26,0.6777691,3.8051674,3.1273983,0.937
"71","Cryab","hurdle",7.05792406729994e-23,1.847593,4.520327,2.672734,0.936
"156","Meg3","hurdle",4.45357677892974e-24,3.747433,6.561687,2.814254,0.933
"162","Mog","hurdle",7.9343658863336e-26,0.8596305,3.6041432,2.7445127,0.931
"97","Elavl3","hurdle",1.50107324665026e-21,0.3409094,2.8998787,2.5589693,0.928
"55","Cnp","hurdle",2.98933356170364e-22,2.206995,4.871933,2.664938,0.928
"147","Malat1","hurdle",7.84235877038216e-14,6.944954,8.513584,1.56863,0.926
"363","Syt1","hurdle",8.72652461653117e-23,0.4973503,3.3056611,2.8083108,0.924
"52","Cldn11","hurdle",1.88476402372644e-24,1.761911,4.529821,2.76791,0.924
"5","Aplp1","hurdle",4.67329575328623e-20,1.011051,3.357765,2.346714,0.923
"227","Plp1","hurdle",2.33712126022395e-22,5.59257,8.117257,2.524687,0.92
"389","Ttc3","hurdle",8.0026844566502e-20,0.7017955,2.9796374,2.2778419,0.919
"375","Tmeff2","hurdle",1.09275985349959e-22,0.01628222,2.60880924,2.59252702,0.919
"393","Tubb4a","hurdle",1.47052232781612e-20,0.8960109,3.2878663,2.3918554,0.917
"349","Snrpn","hurdle",2.10639632717122e-19,0.7653068,3.0552167,2.2899099,0.916
"152","Mbp","hurdle",5.36927371141263e-21,2.923767,5.352532,2.428765,0.913
"12","Atp1b1","hurdle",1.91302834709443e-20,0.9616594,3.6777303,2.7160709,0.911
"386","Tspan2","hurdle",1.61564251342123e-21,0.1576215,3.0604667,2.9028452,0.91
