"","Gene","test.type","p_value","log2.mean.Cluster_Other","log2.mean.Neurons","log2fold_change","Auc"
"98","Ly6h","hurdle",2.71739385919125e-133,-1.248949,2.029983,3.278932,0.91
"30","Bex2","hurdle",7.42446522822533e-114,-0.1540208,2.5018213,2.6558421,0.904
"202","Rtn1","hurdle",1.44706781519346e-117,-0.05998103,2.64431778,2.70429881,0.903
"105","Meg3","hurdle",2.59393049340767e-114,2.507136,5.989502,3.482366,0.896
"109","Mllt11","hurdle",5.20250860089137e-116,-0.6543144,2.6238669,3.2781813,0.895
"215","Snap25","hurdle",5.16759707187387e-125,-1.050318,2.321928,3.372246,0.894
"217","Sncb","hurdle",2.44157367018038e-118,-0.7014892,2.8383467,3.5398359,0.882
"32","Calm2","hurdle",2.96830604773477e-94,1.441253,3.546462,2.105209,0.877
"152","Olfm1","hurdle",1.14190484828266e-106,-0.869525,1.929033,2.798558,0.875
"8","Atp1b1","hurdle",4.06809374950019e-104,-0.05879918,3.07107616,3.12987534,0.875
"99","Map1b","hurdle",6.79724413223572e-97,-0.4733642,2.0057593,2.4791235,0.87
"241","Ttc3","hurdle",3.19621961826016e-86,0.01713756,2.48026512,2.46312756,0.864
"156","Pcsk1n","hurdle",1.14791719586849e-89,0.3746677,3.1368476,2.7621799,0.864
"26","Atp6v1g2","hurdle",9.05033226628856e-114,-1.488879,1.989866,3.478745,0.863
"219","Snrpn","hurdle",2.12255911325264e-89,-0.09347239,2.68974644,2.78321883,0.86
"216","Snca","hurdle",3.8913047957054e-99,-0.4483873,2.92448,3.3728673,0.857
"121","Ndrg4","hurdle",1.09784451802219e-100,-1.024709,1.991318,3.016027,0.85
"86","Grin2b","hurdle",1.91107170612103e-98,-0.6471917,2.0071955,2.6543872,0.846
"41","Cnih2","hurdle",3.67106330497445e-86,-0.657889,2.051024,2.708913,0.846
"71","Eif4a2","hurdle",1.54285254885871e-81,-0.5116596,2.0799754,2.591635,0.845
"223","Stmn3","hurdle",4.16107153601658e-91,-1.050318,2.045443,3.095761,0.844
"173","Rab3a","hurdle",1.071086034828e-84,-0.9950182,1.8318772,2.8268954,0.837
