"","Gene","test.type","p_value","log2.mean.Cluster_Other","log2.mean.Oligos","log2fold_change","Auc"
"61","Pllp","hurdle",1.26840802632962e-135,-0.9548912,2.2375637,3.1924549,0.91
"56","Olig1","hurdle",1.46816668617202e-134,-0.9483105,2.158337,3.1066475,0.906
"62","Plp1","hurdle",7.45423566677293e-146,3.793696,7.985796,4.1921,0.896
"16","Cnp","hurdle",4.55764494519183e-128,0.8471145,4.4732674,3.6261529,0.892
"52","Mbp","hurdle",1.78197350786049e-136,1.174053,5.289392,4.115339,0.89
"17","Cryab","hurdle",5.40278959288691e-131,0.4914094,4.1137005,3.6222911,0.887
"101","Tubb4a","hurdle",2.51207946899695e-107,-0.1240469,2.9456077,3.0696546,0.874
"15","Cldn11","hurdle",9.2302878432393e-128,0.10307,4.152508,4.049438,0.874
"33","Gltp","hurdle",7.25962532764418e-104,-1.008646,2.086784,3.09543,0.871
"54","Mog","hurdle",2.85449240327487e-115,-0.6525304,3.1978654,3.8503958,0.848
"82","Shisa4","hurdle",3.39160820003559e-87,-0.5460228,2.2041407,2.7501635,0.846
"3","Arpc1a","hurdle",6.19946243428891e-84,-0.3424894,2.3010023,2.6434917,0.837
"94","Tmeff2","hurdle",6.08760806757309e-97,-1.120097,2.166073,3.28617,0.836
"69","Qk","hurdle",1.54768768580354e-73,0.4579461,2.486457,2.0285109,0.834
"98","Tspan2","hurdle",2.34405691738811e-98,-0.907316,2.331132,3.238448,0.833
"75","S100a16","hurdle",1.26675935988834e-71,-0.1364604,1.9014945,2.0379549,0.832
"48","Mag","hurdle",1.42211309024948e-102,-0.3774232,2.8984019,3.2758251,0.832
"53","Mobp","hurdle",8.13178463121411e-106,0.5706768,4.3173041,3.7466273,0.83
"1","Aplp1","hurdle",6.84544223127028e-77,0.2694472,2.8527979,2.5833507,0.826
"97","Tsc22d4","hurdle",2.31534501534559e-69,0.2637903,2.4977401,2.2339498,0.823
"26","Fez1","hurdle",5.39103664527596e-72,-0.431463,2.119024,2.550487,0.818
"50","Malat1","hurdle",1.74402907555735e-49,6.687295,8.009638,1.322343,0.816
"68","Qdpr","hurdle",5.13134259822497e-80,-1.078784,1.951588,3.030372,0.813
"63","Ppp1r14a","hurdle",8.22895305759111e-95,-1.19862,2.507921,3.706541,0.813
"80","Sept4","hurdle",5.86065963179282e-77,-0.3439282,2.4667576,2.8106858,0.812
"49","Mal","hurdle",1.51166366853784e-93,0.2571625,4.0028825,3.74572,0.811
"31","Gatm","hurdle",1.22538141642351e-64,-0.4530376,1.6798741,2.1329117,0.807
"89","Stmn4","hurdle",7.65706018392157e-71,-0.4268816,2.2016339,2.6285155,0.806
"83","Sirt2","hurdle",2.17047877288913e-72,-0.6173066,2.9107327,3.5280393,0.804
"38","Gsn","hurdle",1.43069615738221e-88,-1.690099,1.524064,3.214163,0.801
"57","Opalin","hurdle",2.39693107502876e-93,-0.9094448,2.484396,3.3938408,0.8
"84","Slc48a1","hurdle",1.00305988047802e-64,-0.4907902,1.7066411,2.1974313,0.795
"73","Rnf7","hurdle",2.21363926243213e-60,0.07103729,1.8890841,1.81804681,0.792
"81","Sept7","hurdle",3.06634183925708e-56,-0.2119579,1.7242137,1.9361716,0.791
"90","Syt11","hurdle",3.02333334623809e-44,1.335115,2.683472,1.348357,0.772
"96","Trf","hurdle",1.11417394688813e-56,-0.1502399,2.4541759,2.6044158,0.769
"24","Elavl3","hurdle",6.87066615556063e-49,0.05256463,1.70132726,1.64876263,0.769
"76","Scd2","hurdle",1.24033624926828e-43,0.8540333,2.3299846,1.4759513,0.764
"65","Ptgds","hurdle",1.97140077315543e-66,0.600156,2.470927,1.870771,0.755
"28","Fkbp1a","hurdle",5.56370992367385e-37,1.174053,2.381837,1.207784,0.753
"10","Car2","hurdle",2.39466149710713e-64,0.1156866,2.729444,2.6137574,0.747
"19","Dbi","hurdle",4.29634487788238e-36,1.634827,2.496718,0.861891,0.746
"74","Rtn4","hurdle",1.22624801474068e-38,0.02496191,1.74846123,1.72349932,0.741
"40","H2afj","hurdle",6.31137547867035e-45,0.3937857,2.5577777,2.163992,0.741
"104","Ywhaq","hurdle",1.56568050754854e-39,-0.2573294,1.6266728,1.8840022,0.739
"29","Fth1","hurdle",3.49406833390028e-41,4.432854,6.455426,2.022572,0.735
"78","Selk","hurdle",6.98378018714108e-32,1.19798,2.440421,1.242441,0.73
"36","Gng12","hurdle",7.87346293931049e-39,-0.8226337,1.2387869,2.0614206,0.728
"9","Bin1","hurdle",5.09715520578056e-34,-0.3862904,1.3219281,1.7082185,0.722
"51","Marcksl1","hurdle",3.61032970560442e-29,0.5775333,1.9855004,1.4079671,0.716
"41","Hist1h2bc","hurdle",1.60300803988302e-33,-0.5460228,1.2289726,1.7749954,0.716
"37","Gpm6b","hurdle",3.10792463741881e-31,0.5522317,1.7259592,1.1737275,0.716
"103","X1810037I17Rik","hurdle",9.30723669795363e-27,0.7411786,1.8859648,1.1447862,0.714
"70","Rap1a","hurdle",1.33847404062252e-36,-0.5493386,1.4956952,2.0450338,0.71
"71","Reep5","hurdle",5.98117291525073e-31,0.2806949,2.0426443,1.7619494,0.708
"91","Taldo1","hurdle",5.55910493529599e-34,-0.468648,1.596458,2.065106,0.703
"32","Gde1","hurdle",1.89013533006362e-28,-0.3671465,1.1453514,1.5124979,0.702
"67","Ptn","hurdle",5.40602050672474e-25,1.738054,2.650765,0.912711,0.698
"11","Cd81","hurdle",8.72709750870619e-29,2.135543,3.669934,1.534391,0.695
"12","Cd9","hurdle",5.27744947754841e-29,-0.5761428,1.4135941,1.9897369,0.693
"7","Atxn7l3b","hurdle",4.8381488397098e-21,0.4513252,1.4436067,0.9922815,0.691
"60","Pgp","hurdle",1.2664607665489e-24,-0.7426477,0.5694911,1.3121388,0.689
"46","Kif1b","hurdle",2.11045904068788e-22,-0.08262229,1.18903382,1.27165611,0.689
"66","Ptma","hurdle",1.70940437243189e-17,2.159097,2.695994,0.536897,0.688
"77","Sec11c","hurdle",3.58276343124489e-21,-0.277809,0.9560567,1.2338657,0.681
"72","Rhob","hurdle",7.33170853092627e-20,-0.06709259,1.04544297,1.11253556,0.673
"100","Tuba1a","hurdle",3.74294118033241e-17,1.968526,3.21661,1.248084,0.67
"14","Cisd1","hurdle",5.03719223732898e-17,0.350853,1.15056,0.799707,0.667
"105","Zfp706","hurdle",1.06026331745534e-15,0.4978493,1.3288365,0.8309872,0.664
"35","Gng11","hurdle",1.4786935137621e-22,0.01825793,1.17887396,1.16061603,0.663
"47","Lamp1","hurdle",3.78367947775058e-16,0.630511,1.592636,0.962125,0.66
"27","Fis1","hurdle",1.27820499486036e-14,0.2741444,1.0538064,0.779662,0.659
"5","Atp6v0b","hurdle",4.35165036577753e-16,0.6165234,1.6690268,1.0525034,0.655
"92","Tecr","hurdle",1.49491052741598e-17,0.06237373,1.40708078,1.34470705,0.646
"55","Npc2","hurdle",5.51499979370047e-14,0.06019969,1.07587487,1.01567518,0.642
"18","Cyb5a","hurdle",1.068718225333e-13,-0.08382384,0.89530262,0.97912646,0.64
"93","Thra","hurdle",5.50889598931383e-14,0.3911936,1.0114956,0.620302,0.639
"13","Cfl1","hurdle",5.41198530086721e-11,1.344525,1.910733,0.566208,0.639
"25","Fabp5","hurdle",2.12894991085522e-14,0.08286537,0.98258295,0.89971758,0.638
"4","Arpc1b","hurdle",5.69881451649069e-16,0.3356544,1.906121,1.5704666,0.637
"2","App","hurdle",8.87049269501423e-14,-0.01459122,0.84478735,0.85937857,0.636
"6","Atp6v1g1","hurdle",7.31035718356723e-11,0.7193006,1.4646683,0.7453677,0.635
"43","Hsbp1","hurdle",4.44908698154776e-10,0.8068363,1.3470987,0.5402624,0.632
"85","Spcs1","hurdle",1.42548838944963e-11,-0.2225058,0.6672109,0.8897167,0.63
"45","Jund","hurdle",9.33519374080946e-10,0.6385475,1.2845141,0.6459666,0.629
"44","Hsp90aa1","hurdle",2.46243893197615e-12,0.2098947,0.9649531,0.7550584,0.629
"21","Dynll1","hurdle",1.40537550170879e-13,1.860232,2.550901,0.690669,0.626
"8","BC031181","hurdle",4.15850924257641e-11,0.1302678,1.0200577,0.8897899,0.625
"95","Tmem234","hurdle",2.12465430604602e-09,-0.1414559,0.6154163,0.7568722,0.62
"99","Tspan3","hurdle",1.44494779834396e-09,0.3737926,1.2582174,0.8844248,0.619
"42","Hmgcs1","hurdle",1.08719936000091e-11,-0.457703,0.8221183,1.2798213,0.618
"79","Sep15","hurdle",1.31771289177342e-07,0.7158519,1.3516283,0.6357764,0.608
"58","Paip2","hurdle",1.93078729342664e-08,-0.09953567,0.73811929,0.83765496,0.607
"59","Pea15a","hurdle",1.51020542886659e-07,0.3929222,1.0426443,0.6497221,0.606
"30","Gabarap","hurdle",1.21395124234963e-06,0.5676189,1.1531568,0.5855379,0.602
"39","H1f0","hurdle",6.82569964072442e-07,0.210875,0.8221183,0.6112433,0.601
"87","Srp14","hurdle",1.16845863827586e-05,0.5335477,1.0976108,0.5640631,0.592
"88","Srrm2","hurdle",1.42624105829636e-05,0.1528875,0.7756827,0.6227952,0.591
"20","Dctn3","hurdle",1.30805660156301e-05,-0.3981988,0.2190911,0.6172899,0.586
"22","Dynll2","hurdle",1.80245697046847e-05,0.4612452,1.4977401,1.0364949,0.581
"102","Vapa","hurdle",5.13407093497415e-06,-0.4329934,0.4049031,0.8378965,0.577
"23","Eif2s2","hurdle",0.000968199044298504,-0.0009076408,0.5260688117,0.5269764525,0.568
"86","Spcs2","hurdle",0.0201409519511699,-0.03536307,0.64154603,0.6769091,0.55
"64","Psmb6","hurdle",0.0349959489538491,0.210875,0.7136958,0.5028208,0.547
"34","Gnb2","hurdle",0.000413235297318276,0.5002569,1.2558028,0.7555459,0.545
