	Astrocyte	Astrocyte,Neurons	Astrocyte,Oligos	Blood	Immune	Neurons	Neurons,Cycling	Neurons,Oligos	Oligos	Vascular	dummy
Spotx1	9.724913e-10	9.728234e-10	0.1166707	9.723633e-10	9.724245e-10	9.728123e-10	0.7623097	9.723595e-10	0.04000629	0.08101333	9.727473e-10
Spotx2	5.899795e-10	5.899232e-10	5.898659e-10	0.13719591	5.900954e-10	0.0464546	0.0874233	5.897781e-10	0.71345466	0.0103359455	0.0051355273
Spotx3	0.10299298	1.4668794e-09	0.02952994	1.467204e-09	0.07044594	1.4665464e-09	1.4672348e-09	1.4666612e-09	0.3927744	0.4042568	1.4670221e-09
Spotx4	0.0019490705	5.31276e-10	5.313997e-10	5.3113824e-10	5.312416e-10	5.3120514e-10	5.312021e-10	5.31268e-10	0.9951844	5.3115345e-10	0.002866511
Spotx5	1.3161057e-09	0.2596849	0.11493036	1.3156565e-09	0.15007289	0.05494432	1.3159175e-09	1.3157142e-09	0.2046961	0.21567142	1.3159852e-09
Spotx6	0.06965922	0.08341129	0.1578213	3.5202452e-10	3.5218772e-10	0.068515725	0.022355285	3.520856e-10	0.38369563	0.2093642	0.005177422
Spotx7	1.5932438e-09	0.25876385	0.09819473	1.5934473e-09	0.0964112	0.2081377	1.5934473e-09	0.02199383	0.1884555	0.11927052	0.008772568
Spotx8	0.10192128	7.3284917e-10	0.39310417	7.32761e-10	0.114629	7.3270234e-10	0.02092798	7.3283934e-10	0.36941758	7.327653e-10	7.3287704e-10
Spotx9	2.851492e-10	0.1111695	2.8521396e-10	2.8525204e-10	2.8515576e-10	0.3458239	2.8531844e-10	0.1319432	0.3944634	2.8517588e-10	0.016599905
Spotx10	0.21422723	7.824511e-10	0.03307559	7.8263324e-10	0.61181134	7.826019e-10	0.0048277467	0.05246482	0.07707097	7.8261087e-10	0.006522219
Spotx11	7.5901163e-10	0.049164705	7.5903916e-10	0.31730774	7.585601e-10	0.053637482	0.10271373	0.035593614	0.3736916	0.06665623	0.0012350085
